Addr(dec),Size(byte),Group,Sub,Name,Access,Type,Default,Range,Scale/Unit,Bit/State Def,Note
130,1,MOTOR,cmd,ctr_mode[2],R/W,uint8_t,3,0~7,,(동일 정의),
131,1,MOTOR,cmd,ctr_mode[3],R/W,uint8_t,3,0~7,,(동일 정의),
132,4,MOTOR,cmd,cmd_position[0],R/W,float,0,?,[deg],,AK motor ID=1 위치 목표값
136,4,MOTOR,cmd,cmd_position[1],R/W,float,0,?,[deg],,
140,4,MOTOR,cmd,cmd_position[2],R/W,float,0,?,[deg],,
144,4,MOTOR,cmd,cmd_position[3],R/W,float,0,?,[deg],,
148,4,MOTOR,cmd,cmd_velocity[0],R/W,float,0,?,[RPM],,AK motor ID=1 속도 목표값
152,4,MOTOR,cmd,cmd_velocity[1],R/W,float,0,?,[RPM],,
156,4,MOTOR,cmd,cmd_velocity[2],R/W,float,0,?,[RPM],,
160,4,MOTOR,cmd,cmd_velocity[3],R/W,float,0,?,[RPM],,
164,4,MOTOR,cmd,cmd_current[0],R/W,float,0,?,[A],,AK motor ID=1 전류 목표값
168,4,MOTOR,cmd,cmd_current[1],R/W,float,0,?,[A],,
172,4,MOTOR,cmd,cmd_current[2],R/W,float,0,?,[A],,
176,4,MOTOR,cmd,cmd_current[3],R/W,float,0,?,[A],,
=======================================,,,,, [SYSTEM/ cmd]  ,,???? [   180  :,191  ] ????,( 12 byte ),모터 제어 명령 ===============================================,
180,4,MOTOR,cmd,cmd_lin_vel,R/W,float,0,?,[m/s],,cmd_vel[0] ? AUTO 모드 선속도
184,4,MOTOR,cmd,cmd_ang_vel,R/W,float,0,?,[rad/s],,cmd_vel[1] ? AUTO 모드 각속도
188,1,MOTOR,cmd,weight,R/W,uint8_t,0,0~3,,0=정지 / 1=저속(×0.15) / 2=중속(×0.50) / 3=최고속(×1.00),throttle_scale 선택 (ACTION_STATE_MANUAL)
189,1,MOTOR,cmd,ctr_flag,R/W,uint8_t,0,0~1,,0=FALSE / 1=TRUE,
190,1,MOTOR,cmd,mode,R/W,uint8_t,0,0~1,,0=MANUAL / 1=AUTO,GPIO MODE 핀 연동 (PERIPHERAL_DATA_t.MODE)
191,1,MOTOR,cmd,RESERVED,?,?,?,?,?,?,
====================================================,,,,,, [RESERVED]  ,???? [   192  :,223  ] ????,( 32 byte ),미래 확장용  ===============================================,
192,32,RESERVED,,RESERVED,?,?,?,?,?,,읽으면 0x00 반환 / 쓰기 무시
====================================================,,,,,, [DIAG]  ,???? [   228  :,255  ] ????,( 28 byte ),진단/디버그 카운터 (모두 R/O) ===============================================,
224,4,DIAG,,cmd_write_tick,R/O,uint32_t,0,?,ms,tick,상위 레벨에서 데이터가 씌여진 시간
228,28,DIAG,,RESERVED_DIAG,?,?,?,?,?,,향후 센서 진단 확장용
256,,,,,,,,,,,
